"sede_adm","codigo_activo_fijo","descripcion","color","marca","modelo","serial","estatus_fisico","unidad","observacion","documento","fecha","monto"
"EDIFICIO CORO MUNICIPIO MIRANDA","00014192","AIRE ACONDICIONADO","BLANCO","HAIER","ESA415J","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00014559","ESCRITORIO ","MARRÓN","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00014840","REGULADOR DE VOLTAJE","BEIGE","APC","LINER-R 600-1200 VA","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00014904","SILLA","NEGRO","SIN MARCA","PRESIDENCIAL","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00014905","ESCRITORIO","NEGRO","SIN MARCA","0","0","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00014940","ESCRITORIO","MARRÓN","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00014945","ESCRITORIO","BEIGE","SIN MARCA","RECTO DE O2 GAVETAS","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00015519","DISPENSADOR DE AGUA","BLANCO","KEITOR","SIN MODELO","SIN SERIAL","BUENO","SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00015524","SILLA","NEGRO","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00016134","PIAZRRA ACRILICA","BLANCO","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"LABORATORIO CENTRAL","00016225","ESCRITORIO ","BEIGE","SIN MARCA","RECTO DE 02 GAVETAS ALTURA: 75 CMS, LONGITUD: 120 CMS, PROFUNDIDAD: 60 CMS","DETERIORADO","BUENO","RECEPCION LABORATORIO","REVISION 13/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00016658","SILLA","NEGRO","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00016969","MESA ","MARRÓN","SIN MARCA","MESA PARA COMPUTADOR","SIN SERIAL","BUENO","ACCESO A PRESIDENCIA","REVISION 13/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00017142"," AIRE ACONDICIONADO ","BLANCO","HAIER","ESA415J","SIN SERIAL","REGULAR","GARITA","REVISION 13/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00017143","SILLA","NEGRO","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00018167","RADIO PORTATIL","NEGRO","Baofeng","BF-888S","SIN SERIAL","BUENO","GARITA","REVISION 13/12/2024.","S/I","44791","108.28"
"EDIFICIO CORO MUNICIPIO MIRANDA","00018446","TECLADO ","NEGRO","VIT","0","KBH618K1307A5","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","45078","17/05/2023","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018447","CORNETA PARA COMPUTADOR","NEGRO","VIT","0","11817K008122","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","45078","17/05/2023","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018448","MONITOR","NEGRO","VIT","V195EW-W","GLDH9HA009130","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","45078","17/05/2023","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018449","CPU","NEGRO","VIT","VIT M2100.","AOO1328159","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","45078","17/05/2023","4419.66"
"EDIFICIO CORO MUNICIPIO MIRANDA","00018450","MOUSE","NEGRO","VIT","0","MSJ110K19337A","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","45078","17/05/2023","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018451","CORNETA PARA COMPUTADOR","NEGRO","VIT","0","11817LO20824","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018452","TECLADO ","NEGRO","VIT","DOK-K5318U","KGHC18K13170A","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018453","MONITOR","NEGRO","VIT","VIT M2100.","A001328181","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018454","CPU","NEGRO","TRONIC","VI ","GLDH9H49009131","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00018455","MOUSE","NEGRO","VIT","M696","MSJ110K150003A","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00019451","MESA","MARRÓN","SIN MARCA","MESA EN FORMICA ","SIN SERIAL","BUENO","SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","S/I"
"EDIFICIO CORO MUNICIPIO MIRANDA","00019727","ARCHIVO HORIZONTAL","MARRÓN","SIN MARCA","TIPO MUEBLE DE DOS GAVETAS GRANDES","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00019728","TELEVISOR ","GRIS","PANASONIC","SIN MODELO","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
"","Lcdo José Rosillo","","Vianny Chirino.","","","","Miguel Cammarata.","","","","",""
"","Responsable Patrimonial","","Auxiliar Patrimonial","","","","Gerente ","","","","",""
